ID: 102560; DES Number: 85806158; Time: 12:14:32
ID: 102726; DES Number: 82409409; Time: 12:15:03
ID: 102678; DES Number: 87420296; Time: 12:15:34
ID: 102631; DES Number: 75389870; Time: 12:16:22
ID: 102561; DES Number: 03073061; Time: 12:19:17
ID: 102679; DES Number: 01955070; Time: 12:19:48
ID: 102727; DES Number: 51633112; Time: 12:20:14
ID: 102632; DES Number: 20022199; Time: 12:20:45
ID: 102680; DES Number: 82425389; Time: 12:21:20
ID: 102562; DES Number: 20305741; Time: 12:21:50
ID: 102633; DES Number: 80267295; Time: 12:22:09
ID: 102681; DES Number: 00010082; Time: 12:22:49
ID: 102728; DES Number: 81056517; Time: 12:23:10
ID: 102573; DES Number: 10103350; Time: 12:23:51
ID: 102682; DES Number: 20022226; Time: 12:24:18
ID: 102729; DES Number: 80336638; Time: 12:24:43
ID: 102658; DES Number: 83451423; Time: 12:25:00
ID: 102683; DES Number: 30325124; Time: 12:25:36
ID: 102574; DES Number: 79120347; Time: 12:26:00
ID: 102659; DES Number: 81726896; Time: 12:26:41
ID: 102730; DES Number: 83973726; Time: 12:27:01
ID: 102575; DES Number: 81831078; Time: 12:27:36
ID: 102710; DES Number: 52491549; Time: 12:27:53
ID: 102731; DES Number: 83449330; Time: 12:28:19
ID: 102660; DES Number: 51327009; Time: 12:28:47
ID: 102711; DES Number: 82187757; Time: 12:29:33
ID: 102576; DES Number: 00060479; Time: 12:29:54
ID: 102661; DES Number: 84859048; Time: 12:30:26
ID: 102732; DES Number: 00641120; Time: 12:30:57
ID: 102587; DES Number: 00200828; Time: 12:31:24
ID: 102712; DES Number: 04998215; Time: 12:31:44
ID: 102662; DES Number: 30325128; Time: 12:32:09
ID: 102733; DES Number: 07293392; Time: 12:32:25
ID: 102598; DES Number: 00200741; Time: 12:32:57
ID: 102663; DES Number: 00642123; Time: 12:33:23
ID: 102599; DES Number: 82548870; Time: 12:33:51
ID: 102599; DES Number: 82548870; Time: 12:34:10
ID: 102734; DES Number: 01673456; Time: 12:34:56
ID: 102600; DES Number: 51327033; Time: 12:35:28
ID: 102714; DES Number: 83597748; Time: 12:37:22
ID: 102735; DES Number: 82198965; Time: 12:37:56
ID: 102664; DES Number: L0002545; Time: 12:38:15
ID: 102601; DES Number: 98708158; Time: 12:38:47
ID: 102715; DES Number: 41133820; Time: 12:39:21
ID: 102665; DES Number: 89943758; Time: 12:39:42
ID: 102769; DES Number: 81039011; Time: 12:40:09
ID: 102602; DES Number: 3DHZ000K; Time: 12:40:41
ID: 102603; DES Number: 81726026; Time: 12:41:21
ID: 102770; DES Number: 72326606; Time: 12:42:02
ID: 102716; DES Number: 9428-001; Time: 12:43:30
ID: 102666; DES Number: 82070298; Time: 12:43:55
ID: 102717; DES Number: 02066696; Time: 12:44:27
ID: 102771; DES Number: 81727445; Time: 12:44:44
ID: 102623; DES Number: 04585456; Time: 12:45:00
ID: 102718; DES Number: 00301731; Time: 12:45:35
ID: 102772; DES Number: 01996487; Time: 12:46:01
ID: 102667; DES Number: 00827650; Time: 12:46:18
ID: 102628; DES Number: LF201109; Time: 12:47:30
ID: 102700; DES Number: T340859 ; Time: 12:48:03
ID: 102773; DES Number: 25768709; Time: 12:48:29
ID: 102719; DES Number: 85607317; Time: 12:48:51
ID: 102701; DES Number: 07284861; Time: 12:49:20
ID: 102634; DES Number: 81725978; Time: 12:49:36
ID: 102774; DES Number: 85618419; Time: 12:50:03
ID: 102702; DES Number: 82414117; Time: 12:50:28
ID: 102752; DES Number: 20305740; Time: 12:50:46
ID: 102775; DES Number: 51327010; Time: 12:51:19
ID: 102753; DES Number: 82198382; Time: 12:51:45
ID: 102703; DES Number: L2020049; Time: 12:52:09
ID: 102635; DES Number: 81054638; Time: 12:52:31
ID: 102754; DES Number: 82422720; Time: 12:53:00
ID: 102704; DES Number: 10094881; Time: 12:53:16
ID: 102776; DES Number: 00507553; Time: 12:53:38
ID: 102755; DES Number: 83972972; Time: 12:54:17
ID: 102636; DES Number: 20022194; Time: 12:54:41
ID: 102756; DES Number: 02068141; Time: 12:55:41
ID: 102705; DES Number: 01198566; Time: 12:56:01
